ProjectId,TaskId,TaskName,Status,ProjectName,PhaseId,Phase,Assignee,Priority,StartDate,DueDate,HoursTracked,Is this a Billing Milestone?,Invoice Raised?,% of amount to be billed,Dependency,ParentTaskId,ParentTask,AtRisk,Progress,ActualStartDate,CompletedAt,RemainingHours,Effort(hrs),Billable,Category
PRJ-500,TSK-5001,"Design, Build and Test",Completed,Comma Chameleon Ltd - CLM Implementation,PHS-M1,Build,,,2026-07-01,2026-07-15,5.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-500,TSK-5002,"Review, Approve",Completed,Comma Chameleon Ltd - CLM Implementation,PHS-M1,Build,,,2026-07-01,2026-07-15,3.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-500,TSK-5003,Plan,Completed,Comma Chameleon Ltd - CLM Implementation,PHS-M1,Build,,,2026-07-01,2026-07-15,2.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-500,TSK-5004,Single Comma Dependent,To do,Comma Chameleon Ltd - CLM Implementation,PHS-M1,Build,,,2026-07-01,2026-07-15,1.00,,,,"Design, Build and Test",,,,,,,0.00,,true,
PRJ-500,TSK-5005,Multi Dependent,To do,Comma Chameleon Ltd - CLM Implementation,PHS-M1,Build,,,2026-07-01,2026-07-15,1.00,,,,"Design, Build and Test, Review, Approve, Plan",,,,,,,0.00,,true,
PRJ-500,TSK-5006,Unresolved Dependent,To do,Comma Chameleon Ltd - CLM Implementation,PHS-M1,Build,,,2026-07-01,2026-07-15,1.00,,,,"Plan, Nonexistent Task",,,,,,,0.00,,true,
PRJ-500,TSK-5007,Status Report,Completed,Comma Chameleon Ltd - CLM Implementation,PHS-M1,Build,,,2026-07-01,2026-07-15,1.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-500,TSK-5008,Status Report,Completed,Comma Chameleon Ltd - CLM Implementation,PHS-M1,Build,,,2026-07-01,2026-07-15,1.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-500,TSK-5009,Ambiguous Dependent,To do,Comma Chameleon Ltd - CLM Implementation,PHS-M1,Build,,,2026-07-01,2026-07-15,1.00,,,,Status Report,,,,,,,0.00,,true,
PRJ-500,TSK-5010,Go-Live,To do,Comma Chameleon Ltd - CLM Implementation,PHS-M2,Launch,,,2026-07-01,2026-07-15,2.00,true,,,"Multi Dependent, Single Comma Dependent",,,,,,,0.00,,true,
PRJ-500,TSK-5011,Review,Completed,Comma Chameleon Ltd - CLM Implementation,PHS-M1,Build,,,2026-07-01,2026-07-15,1.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-500,TSK-5012,Approve,Completed,Comma Chameleon Ltd - CLM Implementation,PHS-M1,Build,,,2026-07-01,2026-07-15,1.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-500,TSK-5013,Longest Match Dependent,To do,Comma Chameleon Ltd - CLM Implementation,PHS-M1,Build,,,2026-07-01,2026-07-15,1.00,,,,"Review, Approve",,,,,,,0.00,,true,
